record_id,risk_score,event_count,total_usage,flagged_status,user_bin_score,days_since_activity,account_type,months_since_update,membership_flag,loyalty_tier,satisfaction_score,reported_fraud_flag,account_balance,num_transactions,high_risk_flag,account_age_years,stability_rank,rule_alert_flag,violation_count,device_consistency_flag,education_level,gender_flag,employment_status,recent_alerts,weeks_since_account_open
240000,76,0,20,0,999,2,1,1,1,1,9,0,0,1,2,6,1,0,0,1,1,1,1,0,20
240001,31,0,4,0,999,9,1,3,1,1,9,0,460,119,2,1,2,0,0,1,1,1,1,0,52
240002,31,0,29,0,999,6,3,4,1,1,9,0,0,995,1,1,3,0,0,2,1,2,1,0,0
240003,14,0,8,0,999,4,3,5,1,1,9,0,0,995,1,6,9,0,0,1,1,2,2,0,0
240004,19,0,4,0,999,6,3,3,1,1,9,0,0,995,1,6,1,0,0,1,1,2,2,0,0
240005,49,0,200,2,999,6,3,6,1,1,9,1,0,995,1,5,1,0,0,1,1,2,1,0,0
240006,40,0,17,0,999,2,1,2,1,1,9,0,999998,42,2,1,2,0,0,2,1,1,2,0,0
240007,65,0,49,0,999,2,3,4,1,1,9,0,0,995,1,4,1,0,0,1,1,2,1,0,0
240008,42,0,27,0,999,2,1,4,2,1,9,1,780,1,2,1,1,0,0,2,1,1,1,0,52
240009,2,0,4,0,999,0,3,7,1,1,9,0,999998,995,0,6,1,0,0,2,1,2,1,0,0
240010,39,0,48,0,999,6,3,2,1,1,9,0,18,995,1,1,3,0,0,2,1,2,1,0,2
240011,39,0,16,0,999,6,3,6,1,1,9,0,0,995,1,1,1,0,0,1,1,2,2,0,0
240012,13,0,4,0,999,2,3,4,2,1,9,0,999998,995,0,6,1,0,0,1,3,2,1,0,0
240013,53,0,48,0,999,3,3,4,2,1,9,0,0,995,1,1,2,0,0,2,1,2,1,0,0
240014,50,0,200,4,999,1,1,4,1,1,9,1,500,998,2,6,2,0,0,1,1,1,1,0,26
240015,26,0,4,0,999,2,1,9,1,1,9,0,300,118,2,2,2,0,0,1,1,2,1,0,52
240016,1,0,4,0,999,0,3,5,1,1,9,0,999998,995,0,6,9,0,0,2,1,1,1,0,0
240017,34,0,48,0,999,6,3,1,1,4,9,0,1600,97,1,2,2,0,0,0,1,1,2,0,46
240018,31,0,31,0,999,6,1,3,1,1,9,0,2080,104,2,1,2,0,0,1,1,1,1,0,52
240019,15,0,38,0,999,4,3,2,2,1,0,0,0,995,1,6,1,0,0,1,1,2,1,0,0
240020,39,0,22,0,999,2,3,4,1,1,9,0,0,995,1,1,2,0,0,2,2,2,2,0,0
240021,46,0,29,0,999,2,3,4,1,1,9,0,0,995,1,1,3,0,0,1,1,2,1,0,0
240022,18,0,40,0,999,2,3,9,1,1,9,0,0,995,1,2,3,0,0,1,1,2,1,0,0
240023,23,0,47,0,999,2,1,5,1,1,9,0,60,118,2,4,9,0,0,1,1,2,1,0,12
240024,2,0,4,0,999,0,3,6,1,1,9,0,999998,995,0,6,9,0,0,1,1,2,2,0,0
240025,70,0,19,0,999,8,3,1,1,1,9,0,0,995,1,6,3,0,0,2,1,2,1,0,0
240026,11,0,4,0,999,1,3,5,1,1,9,0,999998,995,0,6,2,0,0,1,1,2,1,0,0
240027,28,0,48,0,999,4,3,4,2,1,9,0,0,995,1,1,2,0,0,1,1,2,1,0,0
240028,42,0,5,0,999,2,3,6,2,1,9,0,0,995,1,1,3,0,0,2,1,2,1,0,0
240029,35,0,5,0,999,2,3,5,1,1,9,0,0,995,1,1,2,0,0,2,1,2,1,0,0
240030,19,0,4,0,999,0,3,6,2,1,9,0,0,995,1,1,2,0,0,1,3,2,1,0,0
240031,25,0,4,0,999,1,3,10,1,1,9,1,0,995,1,4,2,0,0,1,1,2,2,0,0
240032,47,0,18,0,999,2,1,10,2,1,9,0,0,1,2,1,1,0,0,2,1,1,1,0,32
240033,25,0,17,0,999,5,3,3,1,1,9,0,0,995,1,1,2,0,0,2,1,2,1,0,0
240034,46,0,47,0,999,6,3,8,2,1,9,0,0,995,1,1,2,0,0,2,1,2,1,0,0
240035,21,0,4,0,999,6,3,2,1,1,9,1,0,995,1,1,2,0,0,1,1,2,1,0,0
240036,9,0,4,0,999,1,3,5,1,1,9,0,999998,995,0,6,2,0,0,2,1,1,2,0,0
240037,83,0,36,0,999,10,3,3,2,1,9,0,0,995,1,5,2,0,0,1,1,1,1,0,0
240038,3,0,4,0,999,0,3,6,1,1,9,1,999998,995,0,6,9,0,0,2,1,2,2,0,0
240039,42,0,17,0,999,2,1,7,1,1,9,0,1650,33,2,1,2,0,0,2,1,1,1,0,52
240040,30,0,4,0,999,2,3,3,1,1,9,0,0,995,1,6,2,0,0,1,1,2,2,0,0
240041,55,0,4,0,999,0,3,3,1,1,9,1,0,995,1,1,2,0,0,2,1,2,2,0,0
240042,51,0,34,0,65,2,1,10,1,1,9,0,299,11,2,1,1,0,0,1,1,1,1,0,19
240043,27,0,4,0,999,3,1,3,1,1,9,0,700,123,2,1,2,0,0,1,1,1,1,0,52
240044,20,0,4,0,8,1,2,4,1,1,9,0,100,1,2,6,1,0,0,1,3,1,1,0,8
240045,35,0,48,0,999,1,1,4,1,1,9,0,0,118,2,6,2,0,0,1,1,2,2,0,0
240046,21,0,8,0,999,7,3,1,1,6,9,0,0,125,1,6,1,0,0,0,1,1,2,0,0
240047,0,0,4,0,999,0,3,3,1,1,9,1,999998,995,0,6,9,0,0,2,1,2,1,0,0
240048,1,0,4,0,999,0,3,5,1,1,9,1,999998,995,0,6,9,0,0,2,1,1,1,0,0
240049,63,0,17,0,999,2,1,2,1,1,9,0,3600,75,2,1,2,0,0,1,1,1,2,0,52
240050,54,0,4,0,999,0,1,3,2,1,9,0,0,1,2,1,2,0,0,1,3,1,1,0,40
240051,2,0,4,0,999,0,3,9,2,1,9,0,999998,995,0,6,9,0,0,1,3,1,1,0,0
240052,3,0,4,0,999,0,3,4,1,1,9,0,999998,995,0,6,9,0,0,2,1,1,2,0,0
240053,14,0,8,0,999,2,3,3,2,1,9,0,0,995,1,6,1,0,0,1,1,2,1,0,0
240054,19,0,4,0,999,1,3,10,2,1,9,1,0,995,1,6,2,0,0,2,1,2,1,0,0
240055,27,0,48,0,999,4,1,2,1,1,9,1,999998,995,2,1,3,0,0,2,1,2,1,0,0
240056,50,0,47,0,999,6,1,3,1,1,9,0,1250,124,2,1,1,0,0,1,2,1,2,0,52
240057,37,0,40,0,999,2,1,6,2,1,9,0,1200,1,2,1,2,0,0,2,1,1,1,0,52
240058,52,0,42,0,999,6,3,5,1,1,9,0,0,995,1,5,1,0,0,2,1,2,1,0,0
240059,53,0,31,0,999,6,3,2,1,1,4,0,630,125,1,2,1,0,0,2,1,2,2,0,51
240060,23,0,4,0,999,2,1,9,1,1,9,0,624,118,2,6,2,0,0,2,1,1,2,0,52
240061,58,0,48,0,999,2,1,3,1,1,9,0,1600,998,2,1,1,0,0,1,2,1,2,0,52
240062,0,0,4,0,999,0,3,5,1,1,9,0,999998,995,0,6,9,0,0,2,1,2,1,0,0
240063,29,0,20,0,999,6,1,2,1,1,9,0,1400,11,2,1,2,0,0,2,1,1,2,0,52
240064,6,0,4,0,999,1,3,4,2,1,9,0,999998,995,0,6,2,0,0,1,3,2,1,0,0
240065,50,0,433,2,999,4,1,6,1,1,9,0,1500,102,2,1,2,0,0,2,1,1,2,0,52
240066,0,0,4,0,999,0,3,3,1,1,9,1,999998,995,0,6,9,0,0,2,1,1,2,0,0
240067,6,0,4,0,999,1,3,5,2,1,9,0,999998,995,0,6,1,0,0,1,3,2,1,0,0
240068,2,0,4,0,999,0,3,6,1,1,9,1,0,995,0,6,9,0,0,2,1,2,2,0,0
240069,26,0,4,0,999,4,1,2,1,1,9,0,1249,5,2,1,2,0,0,1,1,1,2,0,40
240070,22,0,55,0,8,4,2,1,1,1,9,0,575,5,2,6,3,0,0,2,1,1,1,0,30
240071,14,0,4,0,999,2,3,8,1,1,9,1,0,995,1,6,2,0,0,1,1,2,2,0,0
240072,63,0,49,0,999,6,3,3,1,1,2,0,0,995,1,1,1,0,0,2,1,2,2,0,0
240073,6,0,4,0,999,0,3,17,2,1,9,0,999998,995,0,6,1,0,0,1,3,1,1,0,0
240074,5,0,4,0,999,2,3,7,2,1,9,0,999998,995,0,6,9,0,0,1,1,2,1,0,0
240075,18,0,200,3,999,1,1,4,2,1,9,1,130,1,2,6,2,0,0,2,1,1,1,0,26
240076,0,0,4,0,999,0,3,5,1,1,9,0,999998,995,0,6,9,0,0,2,1,1,1,0,0
240077,3,0,4,0,999,0,3,5,2,1,9,0,999998,995,0,6,9,0,0,1,3,1,1,0,0
240078,30,0,4,0,999,0,1,5,2,1,9,0,0,26,2,1,2,0,0,1,3,2,1,0,50
240079,16,0,4,0,999,0,3,4,2,1,9,0,0,995,1,6,1,0,0,1,3,1,1,0,0
240080,14,0,35,0,999,1,3,3,1,1,9,1,0,995,1,6,2,0,0,1,1,1,1,0,0
240081,21,0,4,0,999,3,1,8,2,1,9,0,500,32,2,6,1,0,0,1,1,1,1,0,40
240082,34,0,4,0,999,3,1,8,2,1,9,0,0,1,2,1,2,0,0,1,3,2,1,0,52
240083,18,0,40,0,999,2,3,8,2,1,9,0,0,995,1,6,1,0,0,1,1,2,1,0,0
240084,52,0,200,3,16,2,2,4,1,1,9,1,100,1,2,1,2,0,0,1,1,1,1,0,10
240085,26,0,17,0,999,6,3,4,1,1,9,0,0,995,1,6,3,0,0,2,1,2,2,0,0
240086,2,0,4,0,999,0,3,5,1,1,9,0,999998,995,0,6,9,0,0,1,1,2,1,0,0
240087,61,0,4,0,999,0,1,9,2,1,9,0,0,1,2,1,1,0,0,1,3,1,1,0,47
240088,3,0,4,0,999,0,3,3,1,1,9,0,999998,995,0,6,2,0,0,1,1,1,2,0,0
