risk_score,event_count,total_usage,flagged_status,user_bin_score,days_since_activity,account_type,months_since_update,membership_flag,loyalty_tier,satisfaction_score,reported_fraud_flag,account_balance,num_transactions,high_risk_flag,account_age_years,stability_rank,rule_alert_flag,violation_count,device_consistency_flag,education_level,gender_flag,employment_status,recent_alerts,weeks_since_account_open
17,0,10,0,999,6,3,5,1,1,9,0,52428,995,1,1,9,0,0,2,2,2,1,0,0
35,0,4,0,120,2,1,16,2,1,9,0,52428,123,2,1,1,0,0,1,1,1,1,0,52
31,0,48,3,999,2,1,1,1,1,9,4,52428,118,2,1,2,0,0,2,1,1,1,0,9
0,0,500,0,999,1,3,3,1,1,9,0,996147,995,0,6,2,0,0,1,1,1,2,0,0
9,0,48,0,999,1,3,8,1,1,9,0,996147,995,0,6,9,0,0,1,1,2,2,0,0
3,0,4,0,999,1,3,4,1,1,9,1,996147,995,0,6,9,0,0,2,1,2,2,0,0
23,0,40,0,999,0,3,7,1,1,9,0,996147,995,0,6,9,0,0,1,1,2,1,0,0
5,0,200,0,999,0,3,4,1,1,9,0,996147,995,0,6,2,0,0,2,6,2,1,0,0
5,0,4,0,999,0,3,4,1,1,9,0,996147,995,0,6,2,0,0,2,1,2,1,0,0
3,0,4,0,149,2,3,5,1,1,9,0,996147,995,0,6,3,0,0,2,1,1,1,0,0
3,20,4,0,999,2,3,10,2,1,9,0,996147,995,0,6,1,0,0,1,1,1,1,0,0
27,0,4,0,999,3,1,4,1,1,9,0,52428,120,2,6,1,0,0,1,1,1,1,0,36
37,0,40,0,999,3,3,4,1,1,9,0,52428,995,1,1,1,11,0,1,1,1,1,0,0
25,0,4,0,999,0,1,3,1,1,9,0,52428,124,2,6,2,0,0,2,1,1,1,0,52
28,0,4,3,999,2,1,1,1,1,9,0,52428,1,2,1,1,0,0,1,1,2,1,0,52
44,0,17,0,999,0,3,3,1,6,9,0,52428,995,1,6,1,0,0,1,1,1,1,0,0
9,0,4,0,999,2,3,5,2,1,9,0,996147,995,0,6,1,0,0,1,1,2,1,0,0
80,0,4,0,999,5,1,3,1,1,9,0,52428,99,2,1,2,0,0,2,1,1,2,0,32
6,0,4,0,999,0,3,5,1,1,9,1,996147,995,0,6,2,0,0,1,1,2,1,0,0
38,0,48,0,159,2,3,3,2,1,9,0,996147,86,0,6,2,0,0,1,3,1,1,0,0
50,0,4,0,87,6,1,2,1,1,9,0,52428,104,2,1,2,0,0,2,1,1,2,0,40
4,0,17,0,999,9,3,4,1,1,9,0,996147,995,0,6,9,0,0,2,1,2,2,0,0
12,0,48,0,999,0,3,12,2,1,9,0,996147,995,0,6,9,0,0,2,1,2,1,0,0
64,0,500,0,999,2,3,4,1,1,9,0,52428,995,1,1,2,5,0,2,1,2,1,0,0
25,0,4,0,150,2,2,3,1,1,9,0,52428,72,2,6,2,0,0,1,1,1,1,0,50
13,0,200,0,999,3,3,5,1,1,9,0,786432,995,1,5,2,0,0,2,1,2,1,0,0
25,0,4,0,159,3,3,2,1,1,9,0,52428,995,1,1,3,0,0,2,1,2,2,0,0
16,0,40,0,999,4,3,3,1,1,9,0,52428,995,1,1,1,0,0,1,1,2,1,0,0
5,0,29,0,3,2,3,4,1,1,9,0,996147,995,0,6,9,0,0,2,1,2,1,0,0
33,18,19,0,150,2,2,2,1,1,9,0,52428,11,2,6,2,0,0,1,1,1,1,0,9
10,0,48,0,999,2,1,3,1,1,9,0,52428,91,2,1,1,0,0,1,3,1,1,0,24
27,0,29,0,999,2,1,2,1,1,9,0,52428,102,2,6,1,0,0,1,1,1,2,0,52
50,0,48,0,999,7,1,5,1,1,9,0,52428,1,2,1,9,0,0,1,1,1,1,0,52
56,0,4,0,999,2,1,4,1,1,9,1,52428,1,2,1,9,0,0,2,1,1,1,0,40
7,0,29,0,999,99,3,13,1,1,9,0,996147,995,0,6,2,0,0,1,1,1,1,0,0
6,30,4,0,999,2,3,9,1,1,9,0,996147,995,0,6,1,0,0,1,1,1,2,0,0
24,0,4,0,999,10,1,2,1,1,9,0,52428,79,2,1,2,0,0,2,1,2,1,0,9
32,0,501,0,999,4,3,3,1,1,9,0,52428,995,1,1,1,0,0,1,1,2,1,0,0
8,0,40,0,999,99,3,10,1,1,9,0,996147,995,0,6,9,0,0,1,1,2,1,0,0
10,0,4,0,999,0,3,5,2,1,9,1,996147,995,0,6,1,0,0,2,1,2,1,0,0
62,0,6,0,999,11,3,5,1,1,9,0,52428,86,1,1,2,0,0,2,1,2,1,0,0
25,0,35,0,999,1,1,4,1,1,9,0,52428,125,2,1,2,0,0,1,1,1,2,0,26
65,0,4,0,999,8,1,1,1,1,9,0,52428,35,2,5,2,0,4,1,1,2,2,0,50
21,0,4,0,999,2,3,4,1,1,9,0,52428,995,1,2,2,0,0,2,1,2,1,0,0
25,0,29,0,999,0,3,4,1,1,9,1,52428,995,1,1,9,0,0,1,1,1,1,0,0
47,0,48,0,999,2,1,1,1,1,9,1,52428,124,2,2,1,0,0,1,1,1,1,0,49
20,0,4,0,999,6,3,1,1,1,9,0,52428,995,1,2,1,0,0,1,1,2,2,0,0
36,0,6,0,999,4,1,12,2,1,9,0,52428,998,2,1,1,0,0,1,3,1,1,0,0
7,0,4,2,999,1,3,8,1,1,9,0,996147,995,0,6,1,0,0,2,2,1,2,0,0
5,0,200,3,159,1,3,9,2,1,9,1,996147,995,0,6,9,0,0,1,1,2,1,0,0
4,0,30,0,999,2,3,10,1,1,9,1,996147,995,0,6,9,0,0,2,1,2,1,0,0
